[01-delhivery-prospectu] ID:4b512546 | Entity:retail sales network | Attr:number of retail points | Val:397 retail points | Scope: | Time:{'end': '2021-12-31', 'text': 'as of December 31, 2021', 'start': '2021-12-31'}
[01-delhivery-prospectu] ID:2c7f99f4 | Entity:sale of traded goods | Attr:revenue from sale of traded goods | Val:88.14 ₹ million | Scope: | Time:{'end': '2020-12-31', 'text': 'nine months period ended December 31, 2020', 'start': '2020-04-01'}
[01-delhivery-prospectu] ID:8238d0c4 | Entity:sale of traded goods | Attr:revenue from sale of traded goods | Val:1874.74 ₹ million | Scope: | Time:{'end': '2021-12-31', 'text': 'nine months period ended December 31, 2021', 'start': '2021-04-01'}
[01-delhivery-prospectu] ID:3e965b62 | Entity:nation-wide network | Attr:PIN codes serviced | Val:17488 PIN codes | Scope:in India | Time:{'end': '2021-12-31', 'text': 'nine months period ended December 31, 2021', 'start': '2021-04-01'}
[01-delhivery-prospectu] ID:231b824a | Entity:nation-wide network | Attr:percentage of PIN codes serviced | Val:90.61 % | Scope:in India | Time:{'end': '2021-12-31', 'text': 'as of December 31, 2021', 'start': '2021-12-31'}
[01-delhivery-prospectu] ID:111af883 | Entity:intermediate processing centers | Attr:number of intermediate processing centers operated | Val:132  | Scope: | Time:{'end': '2021-12-31', 'text': 'as of December 31, 2021', 'start': '2021-12-31'}
[01-delhivery-prospectu] ID:49018f51 | Entity:delivery centres | Attr:weight limit for parcels picked up and delivered | Val:less than 10kg kg | Scope: | Time:{'end': None, 'text': None, 'start': None}
[01-delhivery-prospectu] ID:8ffd5cdb | Entity:delivery centres | Attr:number of delivery centres operated | Val:3730  | Scope: | Time:{'end': '2021-12-31', 'text': 'As of December 31, 2021', 'start': '2021-12-31'}
[02-delhivery-annual-re] ID:6e5bfc52 | Entity:Permanent employees Total | Attr:Total permanent employees | Val:18527  | Scope:Permanent employees Total | Time:{'end': None, 'text': None, 'start': None}
[02-delhivery-annual-re] ID:b6a46886 | Entity:Other than Permanent employees Total | Attr:Total other than permanent employees | Val:77  | Scope:Other than Permanent employees Total | Time:{'end': None, 'text': None, 'start': None}
[02-delhivery-annual-re] ID:ee706de0 | Entity:Workers | Attr:Child care/creche facilities roll out date | Val:April 2023  | Scope:all Workers | Time:{'end': '2023-04-30', 'text': 'April 2023', 'start': '2023-04-01'}
[02-delhivery-annual-re] ID:22faa0a7 | Entity:Company | Attr:Cost incurred on well-being measures as a % of total turnover of the company | Val:0.34 % | Scope: | Time:{'end': None, 'text': 'FY24', 'start': None}
[02-delhivery-annual-re] ID:85fbe6e9 | Entity:Company | Attr:Cost incurred on well-being measures as a % of total turnover of the company | Val:0.21 % | Scope: | Time:{'end': None, 'text': 'FY23', 'start': None}
[02-delhivery-annual-re] ID:1c6cb307 | Entity:Company | Attr:Accessibility of corporate offices to differently abled employees and workers | Val:True  | Scope:All corporate offices of the Company | Time:{'end': None, 'text': None, 'start': None}
[01-delhivery-prospectu] ID:504b33e5 | Entity:service centres | Attr:number of service centres operated | Val:244  | Scope: | Time:{'end': '2021-12-31', 'text': 'As of December 31, 2021', 'start': '2021-12-31'}
[01-delhivery-prospectu] ID:162ad251 | Entity:Spoton's service centres | Attr:number of service centres belonging to Spoton | Val:138  | Scope: | Time:{'end': '2021-12-31', 'text': 'As of December 31, 2021', 'start': '2021-12-31'}
[01-delhivery-prospectu] ID:4f88e339 | Entity:Spoton's service centres | Attr:number of additional locations operated by business associates | Val:205  | Scope: | Time:{'end': None, 'text': None, 'start': None}
[01-delhivery-prospectu] ID:bc33058c | Entity:delivery centres | Attr:number of self-operated delivery centres | Val:2521  | Scope: | Time:{'end': None, 'text': None, 'start': None}
[01-delhivery-prospectu] ID:4fdb3fe0 | Entity:delivery centres | Attr:number of delivery centres operated by partners through the Constellation program | Val:1209  | Scope:Constellation program | Time:{'end': None, 'text': None, 'start': None}
[01-delhivery-prospectu] ID:85f6fe44 | Entity:partner stores | Attr:number of partner stores in network | Val:4565  | Scope: | Time:{'end': None, 'text': None, 'start': None}
[01-delhivery-prospectu] ID:45ab2ac0 | Entity:returns processing centres | Attr:number of dedicated facilities operated to process e-commerce sale returns | Val:31  | Scope: | Time:{'end': '2021-12-31', 'text': 'as of December 31, 2021', 'start': '2021-12-31'}
[03-delhivery-q4-fy24-e] ID:012b2a93 | Entity:Express Parcel | Attr:FY24 Express Parcel EBITDA | Val:934 ₹ Cr | Scope:Express Parcel | Time:{'end': None, 'text': 'FY24', 'start': None}
[03-delhivery-q4-fy24-e] ID:0697958d | Entity:Adjusted EBITDA margin | Attr:Adjusted EBITDA margin for FY23 | Val:(5.6%) % | Scope: | Time:{'end': None, 'text': 'FY23', 'start': None}
[03-delhivery-q4-fy24-e] ID:0a7efe53 | Entity:Corporate overheads | Attr:Corporate overheads for FY24 | Val:866 ₹ Cr | Scope: | Time:{'end': None, 'text': 'FY24', 'start': None}
[03-delhivery-q4-fy24-e] ID:1dc6e6d3 | Entity:Express Parcel | Attr:FY23 Express Parcel EBITDA | Val:636 ₹ Cr | Scope:Express Parcel | Time:{'end': None, 'text': 'FY23', 'start': None}
[03-delhivery-q4-fy24-e] ID:1f9e579a | Entity:Part Truckload | Attr:FY23 Part Truckload EBITDA | Val:-237 ₹ Cr | Scope:Part Truckload | Time:{'end': None, 'text': 'FY23', 'start': None}
[03-delhivery-q4-fy24-e] ID:24b0c170 | Entity:Adjusted EBITDA | Attr:Adjusted EBITDA for FY23 | Val:(404) ₹ Cr | Scope: | Time:{'end': None, 'text': 'FY23', 'start': None}
[03-delhivery-q4-fy24-e] ID:294abcfe | Entity:Revenue from customers | Attr:Revenue from customers for Q1 FY23 | Val:1,746 ₹ Cr | Scope: | Time:{'end': None, 'text': 'Q1 FY23', 'start': None}
[03-delhivery-q4-fy24-e] ID:3103f1fe | Entity:Service EBITDA margin | Attr:Service EBITDA margin for FY24 | Val:11.6% % | Scope: | Time:{'end': None, 'text': 'FY24', 'start': None}
[03-delhivery-q4-fy24-e] ID:33bdd8a5 | Entity:Corporate overheads | Attr:FY23 Corporate overheads | Val:826 ₹ Cr | Scope:Corporate overheads | Time:{'end': None, 'text': 'FY23', 'start': None}
[03-delhivery-q4-fy24-e] ID:363ce054 | Entity:Revenue from customers | Attr:Revenue from customers for FY23 | Val:7,225 ₹ Cr | Scope: | Time:{'end': None, 'text': 'FY23', 'start': None}
[03-delhivery-q4-fy24-e] ID:5c543717 | Entity:Total Service EBITDA | Attr:FY24 Total Service EBITDA | Val:941 ₹ Cr | Scope:Total Service EBITDA | Time:{'end': None, 'text': 'FY24', 'start': None}
[03-delhivery-q4-fy24-e] ID:643370f2 | Entity:Corporate overheads | Attr:FY24 Corporate overheads | Val:866 ₹ Cr | Scope:Corporate overheads | Time:{'end': None, 'text': 'FY24', 'start': None}
[03-delhivery-q4-fy24-e] ID:76463329 | Entity:Adjusted EBITDA margin | Attr:Adjusted EBITDA margin for FY24 | Val:0.9% % | Scope: | Time:{'end': None, 'text': 'FY24', 'start': None}
[03-delhivery-q4-fy24-e] ID:ac8d381c | Entity:Supply Chain Services | Attr:FY23 Supply Chain Services EBITDA | Val:25 ₹ Cr | Scope:Supply Chain Services | Time:{'end': None, 'text': 'FY23', 'start': None}
[03-delhivery-q4-fy24-e] ID:aca952a7 | Entity:Total Service EBITDA | Attr:Q1 FY23 Total Service EBITDA | Val:-6 ₹ Cr | Scope:Total Service EBITDA | Time:{'end': None, 'text': 'Q1 FY23', 'start': None}
[03-delhivery-q4-fy24-e] ID:b8b65de8 | Entity:Part Truckload | Attr:FY24 Part Truckload EBITDA | Val:-46 ₹ Cr | Scope:Part Truckload | Time:{'end': None, 'text': 'FY24', 'start': None}
[03-delhivery-q4-fy24-e] ID:baa9b323 | Entity:Adjusted EBITDA | Attr:Adjusted EBITDA for FY24 | Val:76 ₹ Cr | Scope: | Time:{'end': None, 'text': 'FY24', 'start': None}
[03-delhivery-q4-fy24-e] ID:da81ec37 | Entity:Revenue from customers | Attr:Revenue from customers for FY24 | Val:8,142 ₹ Cr | Scope: | Time:{'end': None, 'text': 'FY24', 'start': None}
[03-delhivery-q4-fy24-e] ID:dbc0698e | Entity:Supply Chain Services | Attr:FY24 Supply Chain Services EBITDA | Val:53 ₹ Cr | Scope:Supply Chain Services | Time:{'end': None, 'text': 'FY24', 'start': None}
[03-delhivery-q4-fy24-e] ID:e06650c7 | Entity:Service EBITDA | Attr:Service EBITDA for FY24 | Val:941 ₹ Cr | Scope: | Time:{'end': None, 'text': 'FY24', 'start': None}
[03-delhivery-q4-fy24-e] ID:f31bcf90 | Entity:Adjusted EBITDA | Attr:value | Val:-125 ₹ Cr | Scope: | Time:{'end': None, 'text': 'Q1 FY23', 'start': None}
